Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range,cleaned_skills
Wildlife Biologist,Conservation,Bachelor's in Biology|Master's in Wildlife,2,Wildlife Biology|Research|Data Analysis|Field Work|Problem Solving|Communication,50-90K,wildlife biology research data analysis field work problem solving communication
Conservation Officer,Conservation,Bachelor's in Environmental Science,1,Conservation|Law Enforcement|Environmental Knowledge|Problem Solving|Communication|Safety,45-80K,conservation law enforcement environmental knowledge problem solving communication safety
Bus Driver,Transportation,High School|Commercial Driver's License,0,Driving|Safety|Customer Service|Route Knowledge|Problem Solving|Responsibility,40-70K,driving safety customer service route knowledge problem solving responsibility
Taxi Driver,Transportation,High School|Taxi License,0,Driving|Navigation|Customer Service|Problem Solving|Safety|Communication,35-65K,driving navigation customer service problem solving safety communication
Ship Captain,Transportation,Maritime Academy|Captain License,5,Navigation|Leadership|Maritime Law|Safety|Problem Solving|Technical Knowledge,80-150K,navigation leadership maritime law safety problem solving technical knowledge
Deck Officer,Transportation,Maritime Training,2,Navigation|Maritime Knowledge|Safety|Technical Skills|Leadership|Problem Solving,60-100K,navigation maritime knowledge safety technical skill leadership problem solving
Crane Operator,Transportation,High School|Crane Certification,1,Crane Operation|Safety|Precision|Problem Solving|Communication|Attention to Detail,55-90K,crane operation safety precision problem solving communication attention detail
Police Officer,Law Enforcement,High School|Police Academy,1,Law Enforcement|Safety|Problem Solving|Communication|Physical Fitness|Judgment,50-85K,law enforcement safety problem solving communication physical fitness judgment
Security Guard,Law Enforcement,High School|Security Training,0,Security|Awareness|Communication|Problem Solving|Safety|Responsibility,30-55K,security awareness communication problem solving safety responsibility
Firefighter,Law Enforcement,High School|Fire Academy,1,Fire Fighting|Safety|Physical Fitness|Problem Solving|Teamwork|Quick Thinking,50-90K,fire fighting safety physical fitness problem solving teamwork quick thinking
Military Officer,Law Enforcement,Military Academy|Bachelor's Degree,3,Leadership|Strategic Planning|Safety|Communication|Problem Solving|Discipline,60-120K,leadership strategic planning safety communication problem solving discipline
Detective,Law Enforcement,Police Academy|Experience,3,Investigation|Analysis|Problem Solving|Communication|Attention to Detail|Judgment,65-110K,investigation analysis problem solving communication attention detail judgment
Geologist,Science & Research,Bachelor's in Geology,2,Geology|Field Work|Analysis|Research|Problem Solving|Technical Knowledge,60-110K,geology field work analysis research problem solving technical knowledge
Meteorologist,Science & Research,Bachelor's in Meteorology,1,Meteorology|Weather Analysis|Research|Data Analysis|Problem Solving|Communication,55-100K,meteorology weather analysis research data analysis problem solving communication
Microbiologist,Science & Research,Master's in Microbiology,2,Microbiology|Laboratory Work|Research|Data Analysis|Problem Solving|Precision,65-120K,microbiology laboratory work research data analysis problem solving precision
Botanist,Science & Research,Bachelor's in Botany|Master's preferred,2,Plant Science|Field Work|Research|Data Analysis|Problem Solving|Communication,60-110K,plant science field work research data analysis problem solving communication
News Anchor,Media & Entertainment,Bachelor's in Journalism|Broadcasting,2,Communication|Presentation|Writing|Research|Critical Thinking|On-Camera Skills,60-150K,communication presentation writing research critical thinking oncamera skill
Radio Host,Media & Entertainment,Broadcasting School,1,Public Speaking|Communication|Improvisation|Interviewing|Problem Solving|Personality,40-100K,public speaking communication improvisation interviewing problem solving personality
Sports Commentator,Media & Entertainment,Journalism|Broadcasting,2,Sports Knowledge|Public Speaking|Communication|Enthusiasm|Quick Thinking|Writing,50-120K,sport knowledge public speaking communication enthusiasm quick thinking writing
Announcer,Media & Entertainment,High School|Broadcasting,1,Public Speaking|Voice Skills|Pronunciation|Communication|Professionalism|Quick Thinking,40-80K,public speaking voice skill pronunciation communication professionalism quick thinking
Athlete,Sports & Athletics,High School|University,1,Athletic Ability|Training Discipline|Teamwork|Mental Toughness|Performance|Fitness,40-500K,athletic ability training discipline teamwork mental toughness performance fitness
Sports Agent,Sports & Athletics,Bachelor's in Business|Law,2,Sales|Negotiation|Sports Knowledge|Communication|Business Acumen|Networking,60-150K,sale negotiation sport knowledge communication business acumen networking
Athletic Trainer,Sports & Athletics,Bachelor's in Athletic Training,1,Athletic Training|First Aid|Sports Knowledge|Communication|Problem Solving|Empathy,45-85K,athletic training first aid sport knowledge communication problem solving empathy
Librarian,Information Services,Master's in Library Science,1,Information Management|Research|Organization|Communication|Customer Service|Technology,55-100K,information management research organization communication customer service technology
Archivist,Information Services,Master's in Archival Science,2,Archives Management|Organization|Preservation|Research|Documentation|Problem Solving,50-90K,archive management organization preservation research documentation problem solving
Museum Curator,Arts & Culture,Master's in Art History|Museum Studies,3,Curation|Art Knowledge|Research|Communication|Problem Solving|Management,55-100K,curation art knowledge research communication problem solving management
Conservator,Arts & Culture,Master's in Conservation,2,Conservation|Restoration|Technical Skills|Precision|Research|Problem Solving,55-100K,conservation restoration technical skill precision research problem solving
Exhibition Designer,Arts & Culture,Bachelor's in Design|Museum Studies,2,Exhibition Design|Creativity|Technical Skills|Communication|Problem Solving|Project Management,50-90K,exhibition design creativity technical skill communication problem solving project management
Veterinarian,Veterinary,Doctor of Veterinary Medicine,1,Veterinary Medicine|Animal Care|Diagnosis|Communication|Compassion|Problem Solving,80-150K,veterinary medicine animal care diagnosis communication compassion problem solving
Veterinary Technician,Veterinary,Associate in Veterinary Technology,1,Veterinary Care|Animal Handling|Technical Skills|Communication|Compassion|Safety,35-60K,veterinary care animal handling technical skill communication compassion safety
